Date,Description,Amount,Transaction Type,Category,Account Name
02/26/2018,McDonald's,74.53,debit,Fast Food,Silver Card
02/26/2018,AMC Theaters,176.55,debit,Entertainment,Savings
02/28/2018,Netflix,69.51,debit,Movies & DVDs,Silver Card
03/03/2018,Barbershop,154.31,debit,Haircut,Platinum Card
03/03/2018,Chipotle,47.48,debit,Fast Food,Savings
03/03/2018,Walmart,153.1,debit,Shopping,Platinum Card
03/06/2018,Comcast,180.97,debit,Internet,Savings
03/07/2018,Safeway,114.86,debit,Groceries,Silver Card
03/07/2018,Thai Restaurant,9.09,debit,Restaurants,Platinum Card
03/09/2018,Spotify,151.08,debit,Music,Checking
03/12/2018,Whole Foods,78.51,debit,Groceries,Platinum Card
03/14/2018,BP,65.16,debit,Gas & Fuel,Savings
03/17/2018,Amazon Video,29.45,debit,Movies & DVDs,Silver Card
03/20/2018,Chevron,82.29,debit,Gas & Fuel,Platinum Card
03/23/2018,BP,93.04,debit,Gas & Fuel,Savings
03/23/2018,Italian Bistro,32.87,debit,Restaurants,Savings
03/24/2018,AMC Theaters,29.18,debit,Entertainment,Savings
03/24/2018,Comcast,18.53,debit,Internet,Savings
03/27/2018,Direct Deposit,2419.08,credit,Paycheck,Platinum Card
03/27/2018,Walmart,36.43,debit,Shopping,Checking
03/27/2018,Payroll,2323.28,credit,Paycheck,Checking
03/29/2018,Water Company,19.14,debit,Utilities,Silver Card
03/31/2018,Target,121.95,debit,Shopping,Platinum Card
04/01/2018,Direct Deposit,2202.12,credit,Paycheck,Savings
04/04/2018,Italian Bistro,64.48,debit,Restaurants,Platinum Card
04/04/2018,Barbershop,28.19,debit,Haircut,Platinum Card
04/04/2018,Trader Joe's,108.12,debit,Groceries,Silver Card
04/07/2018,Sushi Bar,45.75,debit,Restaurants,Silver Card
04/09/2018,AT&T Internet,67.0,debit,Internet,Savings
04/09/2018,Trader Joe's,149.7,debit,Groceries,Checking
04/10/2018,Chevron,89.5,debit,Gas & Fuel,Silver Card
04/10/2018,BP,47.22,debit,Gas & Fuel,Checking
04/12/2018,State Farm,51.46,debit,Auto Insurance,Checking
04/13/2018,Payroll,2583.79,credit,Paycheck,Platinum Card
04/16/2018,T-Mobile,103.94,debit,Mobile Phone,Savings
04/16/2018,Shell,63.17,debit,Gas & Fuel,Silver Card
04/19/2018,Payroll,2360.65,credit,Paycheck,Savings
04/19/2018,Direct Deposit,2276.8,credit,Paycheck,Platinum Card
04/20/2018,Comcast,141.98,debit,Internet,Platinum Card
04/22/2018,Home Depot,16.45,debit,Home Improvement,Platinum Card
04/22/2018,Sushi Bar,18.19,debit,Restaurants,Silver Card
04/24/2018,Italian Bistro,16.48,debit,Restaurants,Checking
04/25/2018,Starbucks,187.99,debit,Coffee Shops,Savings
04/25/2018,Electric Company,72.33,debit,Utilities,Checking
04/25/2018,Starbucks,195.58,debit,Coffee Shops,Savings
04/25/2018,Subway,60.16,debit,Fast Food,Savings
04/27/2018,Walmart,138.29,debit,Shopping,Checking
04/30/2018,McDonald's,72.52,debit,Fast Food,Checking
05/03/2018,Chevron,77.77,debit,Gas & Fuel,Silver Card
05/03/2018,Verizon,101.05,debit,Mobile Phone,Silver Card
05/04/2018,McDonald's,24.13,debit,Fast Food,Platinum Card
05/05/2018,Home Depot,74.49,debit,Home Improvement,Platinum Card
05/06/2018,Whole Foods,72.96,debit,Groceries,Checking
05/08/2018,Thai Restaurant,78.66,debit,Restaurants,Checking
05/11/2018,Verizon,114.47,debit,Mobile Phone,Checking
05/12/2018,AMC Theaters,138.44,debit,Entertainment,Checking
05/13/2018,AMC Theaters,177.59,debit,Entertainment,Checking
05/16/2018,Walmart,45.88,debit,Shopping,Checking
05/19/2018,Water Company,75.26,debit,Utilities,Platinum Card
05/20/2018,Whole Foods,27.01,debit,Groceries,Silver Card
05/21/2018,Shell,57.0,debit,Gas & Fuel,Platinum Card
05/22/2018,Trader Joe's,107.0,debit,Groceries,Platinum Card
05/24/2018,Subway,21.72,debit,Fast Food,Platinum Card
05/24/2018,Water Company,19.27,debit,Utilities,Platinum Card
05/25/2018,Shell,46.0,debit,Gas & Fuel,Savings
05/28/2018,Amazon,26.72,debit,Shopping,Checking
05/30/2018,Peet's Coffee,148.67,debit,Coffee Shops,Platinum Card
06/02/2018,Sushi Bar,11.39,debit,Restaurants,Savings
06/02/2018,Safeway,103.0,debit,Groceries,Savings
06/04/2018,State Farm,83.52,debit,Auto Insurance,Savings
06/07/2018,Local Bar,120.83,debit,Alcohol & Bars,Savings
06/09/2018,Whole Foods,146.85,debit,Groceries,Savings
06/12/2018,Shell,53.86,debit,Gas & Fuel,Platinum Card
06/12/2018,McDonald's,36.94,debit,Fast Food,Silver Card
06/14/2018,Local Bar,72.24,debit,Alcohol & Bars,Savings
06/17/2018,Spotify,85.9,debit,Music,Silver Card
06/18/2018,Starbucks,82.7,debit,Coffee Shops,Checking
06/20/2018,Whole Foods,19.39,debit,Groceries,Savings
06/20/2018,Spotify,116.63,debit,Music,Savings
06/22/2018,AMC Theaters,193.6,debit,Entertainment,Checking
06/24/2018,Starbucks,15.38,debit,Coffee Shops,Silver Card
06/26/2018,Target,125.97,debit,Shopping,Platinum Card
06/26/2018,Sushi Bar,11.45,debit,Restaurants,Platinum Card
06/29/2018,Safeway,146.69,debit,Groceries,Silver Card
07/01/2018,Walmart,162.02,debit,Shopping,Platinum Card
07/03/2018,BP,86.73,debit,Gas & Fuel,Platinum Card
07/06/2018,Thai Restaurant,11.26,debit,Restaurants,Savings
07/09/2018,Italian Bistro,11.17,debit,Restaurants,Savings
07/09/2018,Water Company,87.55,debit,Utilities,Platinum Card
07/11/2018,BP,32.63,debit,Gas & Fuel,Platinum Card
07/13/2018,Thai Restaurant,31.86,debit,Restaurants,Savings
07/14/2018,Sushi Bar,42.95,debit,Restaurants,Platinum Card
07/16/2018,T-Mobile,134.64,debit,Mobile Phone,Silver Card
07/16/2018,Subway,67.83,debit,Fast Food,Platinum Card
07/19/2018,State Farm,55.22,debit,Auto Insurance,Checking
07/21/2018,State Farm,164.5,debit,Auto Insurance,Silver Card
07/24/2018,Chevron,58.56,debit,Gas & Fuel,Checking
07/27/2018,Sushi Bar,51.84,debit,Restaurants,Checking
07/30/2018,Starbucks,127.67,debit,Coffee Shops,Platinum Card
07/31/2018,T-Mobile,27.91,debit,Mobile Phone,Platinum Card
08/01/2018,Italian Bistro,41.45,debit,Restaurants,Checking
08/01/2018,Italian Bistro,20.84,debit,Restaurants,Silver Card
08/03/2018,Subway,55.67,debit,Fast Food,Checking
08/03/2018,T-Mobile,143.25,debit,Mobile Phone,Checking
08/06/2018,Whole Foods,118.54,debit,Groceries,Platinum Card
08/09/2018,Safeway,112.73,debit,Groceries,Savings
08/10/2018,Chevron,74.52,debit,Gas & Fuel,Savings
08/11/2018,AMC Theaters,94.9,debit,Entertainment,Savings
08/12/2018,Whole Foods,94.82,debit,Groceries,Platinum Card
08/15/2018,Trader Joe's,54.41,debit,Groceries,Silver Card
08/16/2018,AMC Theaters,118.84,debit,Entertainment,Silver Card
08/19/2018,Direct Deposit,2007.37,credit,Paycheck,Savings
08/19/2018,Water Company,92.72,debit,Utilities,Silver Card
08/20/2018,Starbucks,61.86,debit,Coffee Shops,Checking
08/22/2018,Subway,25.76,debit,Fast Food,Platinum Card
08/23/2018,Starbucks,128.6,debit,Coffee Shops,Silver Card
08/26/2018,Comcast,149.74,debit,Internet,Platinum Card
08/27/2018,McDonald's,54.05,debit,Fast Food,Savings
08/28/2018,Sushi Bar,68.81,debit,Restaurants,Silver Card
08/29/2018,AT&T Internet,195.74,debit,Internet,Checking
08/31/2018,Trader Joe's,67.13,debit,Groceries,Checking
09/02/2018,Comcast,131.76,debit,Internet,Savings
09/02/2018,Starbucks,190.34,debit,Coffee Shops,Platinum Card
09/04/2018,Shell,35.51,debit,Gas & Fuel,Platinum Card
09/05/2018,Target,154.11,debit,Shopping,Silver Card
09/06/2018,Walmart,121.03,debit,Shopping,Savings
09/09/2018,BP,93.69,debit,Gas & Fuel,Platinum Card
09/09/2018,Italian Bistro,66.66,debit,Restaurants,Checking
09/12/2018,BP,93.41,debit,Gas & Fuel,Silver Card
09/15/2018,Home Depot,153.41,debit,Home Improvement,Silver Card
09/15/2018,Whole Foods,27.22,debit,Groceries,Silver Card
09/17/2018,State Farm,35.6,debit,Auto Insurance,Checking
09/17/2018,Chipotle,31.41,debit,Fast Food,Platinum Card
09/20/2018,Sushi Bar,18.44,debit,Restaurants,Checking
09/20/2018,Netflix,133.32,debit,Entertainment,Silver Card
09/23/2018,Water Company,104.07,debit,Utilities,Platinum Card
09/24/2018,Comcast,87.55,debit,Internet,Platinum Card
09/27/2018,Local Bar,110.47,debit,Alcohol & Bars,Platinum Card
09/29/2018,T-Mobile,151.09,debit,Mobile Phone,Silver Card
09/29/2018,AMC Theaters,65.9,debit,Entertainment,Silver Card
09/29/2018,BP,75.64,debit,Gas & Fuel,Silver Card
09/29/2018,Amazon,191.37,debit,Shopping,Silver Card
10/01/2018,Verizon,62.29,debit,Mobile Phone,Checking
10/04/2018,Water Company,113.54,debit,Utilities,Silver Card
10/04/2018,Amazon,161.86,debit,Shopping,Checking
10/06/2018,AMC Theaters,100.49,debit,Entertainment,Savings
10/07/2018,Barbershop,184.42,debit,Haircut,Silver Card
10/10/2018,Shell,68.11,debit,Gas & Fuel,Silver Card
10/13/2018,Whole Foods,39.9,debit,Groceries,Silver Card
10/13/2018,Safeway,62.23,debit,Groceries,Silver Card
10/16/2018,Local Bar,157.34,debit,Alcohol & Bars,Savings
10/16/2018,T-Mobile,50.57,debit,Mobile Phone,Platinum Card
10/18/2018,Amazon,122.36,debit,Shopping,Platinum Card
10/21/2018,Chevron,55.82,debit,Gas & Fuel,Savings
10/22/2018,Peet's Coffee,74.73,debit,Coffee Shops,Platinum Card
10/25/2018,Netflix,190.69,debit,Entertainment,Silver Card
10/28/2018,McDonald's,57.6,debit,Fast Food,Silver Card
10/31/2018,Trader Joe's,71.45,debit,Groceries,Checking
11/03/2018,Netflix,62.95,debit,Entertainment,Silver Card
11/06/2018,Target,67.74,debit,Shopping,Savings
11/08/2018,Electric Company,68.29,debit,Utilities,Savings
11/11/2018,Shell,97.13,debit,Gas & Fuel,Checking
11/13/2018,Home Depot,85.62,debit,Home Improvement,Platinum Card
11/14/2018,Thai Restaurant,6.91,debit,Restaurants,Platinum Card
11/16/2018,Thai Restaurant,33.4,debit,Restaurants,Savings
11/17/2018,Starbucks,170.13,debit,Coffee Shops,Savings
11/17/2018,Electric Company,44.77,debit,Utilities,Checking
11/20/2018,Payroll,2455.78,credit,Paycheck,Savings
11/23/2018,Starbucks,177.26,debit,Coffee Shops,Silver Card
11/26/2018,Direct Deposit,2404.68,credit,Paycheck,Checking
11/28/2018,Home Depot,179.06,debit,Home Improvement,Platinum Card
11/30/2018,Local Bar,59.25,debit,Alcohol & Bars,Savings
12/02/2018,AMC Theaters,82.98,debit,Entertainment,Silver Card
12/04/2018,AMC Theaters,109.97,debit,Entertainment,Platinum Card
12/06/2018,Electric Company,111.87,debit,Utilities,Checking
12/08/2018,Chevron,87.52,debit,Gas & Fuel,Checking
12/08/2018,Whole Foods,37.43,debit,Groceries,Platinum Card
12/11/2018,Walmart,13.54,debit,Shopping,Platinum Card
12/12/2018,Comcast,83.55,debit,Internet,Silver Card
12/14/2018,Starbucks,133.16,debit,Coffee Shops,Checking
12/15/2018,Chevron,31.58,debit,Gas & Fuel,Savings
12/16/2018,Subway,70.55,debit,Fast Food,Silver Card
12/18/2018,Whole Foods,119.17,debit,Groceries,Checking
12/20/2018,Whole Foods,129.58,debit,Groceries,Savings
12/23/2018,Sushi Bar,77.85,debit,Restaurants,Checking
12/25/2018,Comcast,61.82,debit,Internet,Savings
12/25/2018,Netflix,169.2,debit,Movies & DVDs,Checking
12/27/2018,Shell,40.35,debit,Gas & Fuel,Platinum Card
12/29/2018,Target,193.49,debit,Shopping,Checking
12/29/2018,Peet's Coffee,176.92,debit,Coffee Shops,Savings
01/01/2019,Local Bar,152.76,debit,Alcohol & Bars,Platinum Card
01/04/2019,AT&T Internet,156.39,debit,Internet,Checking
01/04/2019,AMC Theaters,37.88,debit,Entertainment,Savings
01/06/2019,Verizon,32.92,debit,Mobile Phone,Platinum Card
01/08/2019,Subway,31.31,debit,Fast Food,Checking
01/08/2019,AMC Theaters,172.77,debit,Entertainment,Platinum Card
01/11/2019,Barbershop,194.71,debit,Haircut,Silver Card
01/14/2019,Walmart,72.38,debit,Shopping,Silver Card
01/16/2019,Chipotle,38.59,debit,Fast Food,Silver Card
01/16/2019,BP,77.5,debit,Gas & Fuel,Checking
01/19/2019,Target,126.31,debit,Shopping,Platinum Card
01/21/2019,Subway,23.44,debit,Fast Food,Platinum Card
01/24/2019,Barbershop,99.49,debit,Haircut,Checking
01/25/2019,Direct Deposit,2878.15,credit,Paycheck,Platinum Card
01/27/2019,Sushi Bar,70.2,debit,Restaurants,Checking
01/30/2019,Safeway,79.29,debit,Groceries,Platinum Card
02/01/2019,Electric Company,143.28,debit,Utilities,Silver Card
02/01/2019,Netflix,77.86,debit,Movies & DVDs,Silver Card
02/03/2019,Amazon,84.53,debit,Shopping,Silver Card
02/06/2019,State Farm,38.67,debit,Auto Insurance,Silver Card
02/09/2019,AMC Theaters,77.14,debit,Entertainment,Silver Card
02/12/2019,Spotify,113.99,debit,Music,Savings
02/13/2019,Netflix,62.17,debit,Entertainment,Savings
02/14/2019,Thai Restaurant,7.58,debit,Restaurants,Silver Card
02/15/2019,Italian Bistro,37.34,debit,Restaurants,Savings
02/18/2019,Target,30.16,debit,Shopping,Savings
02/21/2019,Verizon,129.07,debit,Mobile Phone,Savings
02/22/2019,Safeway,68.13,debit,Groceries,Savings
02/23/2019,Peet's Coffee,138.19,debit,Coffee Shops,Savings
02/23/2019,Water Company,42.93,debit,Utilities,Savings
02/23/2019,Whole Foods,138.44,debit,Groceries,Savings
02/25/2019,AMC Theaters,25.94,debit,Entertainment,Checking
02/27/2019,Local Bar,100.66,debit,Alcohol & Bars,Platinum Card
03/02/2019,Trader Joe's,55.84,debit,Groceries,Silver Card
03/03/2019,Amazon,8.94,debit,Shopping,Platinum Card
03/04/2019,Verizon,180.83,debit,Mobile Phone,Savings
03/04/2019,Electric Company,69.56,debit,Utilities,Savings
03/05/2019,Direct Deposit,2734.35,credit,Paycheck,Silver Card
03/08/2019,Thai Restaurant,37.79,debit,Restaurants,Checking
03/10/2019,Shell,41.39,debit,Gas & Fuel,Checking
03/10/2019,Thai Restaurant,68.19,debit,Restaurants,Savings
03/12/2019,Safeway,117.2,debit,Groceries,Savings
03/15/2019,Trader Joe's,68.85,debit,Groceries,Checking
03/15/2019,Verizon,66.66,debit,Mobile Phone,Savings
03/18/2019,Water Company,88.41,debit,Utilities,Savings
03/21/2019,Italian Bistro,33.94,debit,Restaurants,Silver Card
03/22/2019,State Farm,107.1,debit,Auto Insurance,Platinum Card
03/22/2019,Chevron,38.97,debit,Gas & Fuel,Savings
03/25/2019,Netflix,95.37,debit,Entertainment,Platinum Card
03/25/2019,Water Company,87.33,debit,Utilities,Checking
03/25/2019,AT&T Internet,87.84,debit,Internet,Platinum Card
03/26/2019,Amazon Video,130.9,debit,Movies & DVDs,Savings
03/27/2019,Starbucks,63.54,debit,Coffee Shops,Platinum Card
03/27/2019,Starbucks,162.82,debit,Coffee Shops,Platinum Card
03/28/2019,Direct Deposit,2946.55,credit,Paycheck,Silver Card
03/28/2019,BP,93.29,debit,Gas & Fuel,Savings
03/30/2019,Water Company,98.8,debit,Utilities,Savings
04/02/2019,Amazon,128.43,debit,Shopping,Silver Card
04/03/2019,Amazon,87.71,debit,Shopping,Silver Card
04/06/2019,AMC Theaters,41.11,debit,Entertainment,Platinum Card
04/09/2019,Chipotle,24.1,debit,Fast Food,Checking
04/09/2019,Safeway,39.87,debit,Groceries,Checking
04/11/2019,State Farm,14.22,debit,Auto Insurance,Silver Card
04/12/2019,BP,23.32,debit,Gas & Fuel,Checking
04/13/2019,AMC Theaters,176.52,debit,Entertainment,Platinum Card
04/14/2019,Thai Restaurant,69.02,debit,Restaurants,Checking
04/16/2019,Barbershop,31.2,debit,Haircut,Savings
04/19/2019,Whole Foods,141.82,debit,Groceries,Silver Card
04/19/2019,Home Depot,127.07,debit,Home Improvement,Silver Card
04/20/2019,Electric Company,150.19,debit,Utilities,Savings
04/22/2019,Barbershop,62.57,debit,Haircut,Platinum Card
04/23/2019,Chevron,64.54,debit,Gas & Fuel,Platinum Card
04/26/2019,Netflix,87.96,debit,Entertainment,Checking
04/29/2019,Local Bar,180.08,debit,Alcohol & Bars,Checking
04/30/2019,Sushi Bar,74.15,debit,Restaurants,Checking
05/01/2019,Peet's Coffee,51.95,debit,Coffee Shops,Silver Card
05/02/2019,Starbucks,155.86,debit,Coffee Shops,Savings
05/04/2019,Spotify,86.02,debit,Music,Savings
05/05/2019,Chevron,51.04,debit,Gas & Fuel,Platinum Card
05/08/2019,Water Company,31.58,debit,Utilities,Platinum Card
05/10/2019,T-Mobile,99.7,debit,Mobile Phone,Platinum Card
05/11/2019,BP,42.75,debit,Gas & Fuel,Checking
05/12/2019,BP,73.85,debit,Gas & Fuel,Silver Card
05/14/2019,Netflix,73.82,debit,Entertainment,Platinum Card
05/16/2019,Electric Company,133.11,debit,Utilities,Platinum Card
05/16/2019,Whole Foods,104.18,debit,Groceries,Silver Card
05/18/2019,Comcast,46.92,debit,Internet,Silver Card
05/19/2019,BP,79.65,debit,Gas & Fuel,Silver Card
05/19/2019,Whole Foods,141.28,debit,Groceries,Platinum Card
05/20/2019,Sushi Bar,64.9,debit,Restaurants,Checking
05/23/2019,McDonald's,24.46,debit,Fast Food,Platinum Card
05/26/2019,Sushi Bar,51.18,debit,Restaurants,Savings
05/27/2019,Whole Foods,46.49,debit,Groceries,Silver Card
05/28/2019,Thai Restaurant,76.86,debit,Restaurants,Savings
05/28/2019,Whole Foods,81.1,debit,Groceries,Checking
05/30/2019,Comcast,40.56,debit,Internet,Checking
06/01/2019,Sushi Bar,17.63,debit,Restaurants,Savings
06/01/2019,Electric Company,170.31,debit,Utilities,Checking
06/02/2019,Trader Joe's,43.45,debit,Groceries,Savings
06/04/2019,Chipotle,65.44,debit,Fast Food,Silver Card
06/04/2019,Amazon Video,184.45,debit,Movies & DVDs,Silver Card
06/04/2019,Water Company,122.47,debit,Utilities,Platinum Card
06/07/2019,Safeway,147.06,debit,Groceries,Silver Card
06/09/2019,Thai Restaurant,52.84,debit,Restaurants,Silver Card
06/12/2019,Chipotle,14.91,debit,Fast Food,Silver Card
06/12/2019,Subway,66.08,debit,Fast Food,Platinum Card
06/12/2019,Thai Restaurant,54.21,debit,Restaurants,Savings
06/15/2019,Electric Company,165.16,debit,Utilities,Platinum Card
06/18/2019,Whole Foods,118.21,debit,Groceries,Savings
06/18/2019,Payroll,2824.96,credit,Paycheck,Silver Card
06/18/2019,Water Company,124.54,debit,Utilities,Silver Card
06/18/2019,Amazon,119.88,debit,Shopping,Checking
06/21/2019,Peet's Coffee,143.88,debit,Coffee Shops,Checking
06/21/2019,Payroll,2235.24,credit,Paycheck,Checking
06/22/2019,Shell,95.68,debit,Gas & Fuel,Platinum Card
06/23/2019,Chipotle,29.44,debit,Fast Food,Silver Card
06/25/2019,Safeway,18.09,debit,Groceries,Checking
06/28/2019,Local Bar,104.57,debit,Alcohol & Bars,Checking
06/29/2019,AT&T Internet,56.27,debit,Internet,Platinum Card
06/30/2019,Direct Deposit,2995.8,credit,Paycheck,Checking
07/01/2019,T-Mobile,67.58,debit,Mobile Phone,Savings
07/01/2019,Netflix,64.02,debit,Entertainment,Savings
07/01/2019,Starbucks,187.64,debit,Coffee Shops,Checking
07/04/2019,Italian Bistro,34.3,debit,Restaurants,Checking
07/04/2019,Peet's Coffee,33.47,debit,Coffee Shops,Silver Card
07/07/2019,Italian Bistro,27.59,debit,Restaurants,Savings
07/09/2019,Sushi Bar,15.62,debit,Restaurants,Platinum Card
07/10/2019,Spotify,160.16,debit,Music,Silver Card
07/13/2019,AMC Theaters,108.73,debit,Entertainment,Platinum Card
07/15/2019,State Farm,31.15,debit,Auto Insurance,Checking
07/16/2019,Direct Deposit,2586.65,credit,Paycheck,Savings
07/18/2019,Safeway,141.27,debit,Groceries,Savings
07/18/2019,Sushi Bar,69.73,debit,Restaurants,Savings
07/18/2019,Netflix,144.27,debit,Entertainment,Silver Card
07/21/2019,Walmart,109.41,debit,Shopping,Savings
07/24/2019,Local Bar,83.72,debit,Alcohol & Bars,Checking
07/27/2019,Comcast,71.4,debit,Internet,Savings
07/27/2019,Amazon,39.91,debit,Shopping,Savings
07/27/2019,Home Depot,95.42,debit,Home Improvement,Silver Card
07/29/2019,AMC Theaters,150.35,debit,Entertainment,Savings
07/29/2019,Chevron,39.79,debit,Gas & Fuel,Silver Card
07/31/2019,Direct Deposit,2059.75,credit,Paycheck,Checking
08/01/2019,Walmart,132.73,debit,Shopping,Platinum Card
08/04/2019,Amazon,86.43,debit,Shopping,Platinum Card
08/04/2019,Subway,6.77,debit,Fast Food,Savings
08/07/2019,Chevron,61.15,debit,Gas & Fuel,Platinum Card
08/08/2019,Local Bar,39.71,debit,Alcohol & Bars,Silver Card
08/09/2019,BP,80.71,debit,Gas & Fuel,Checking
08/10/2019,Payroll,2036.55,credit,Paycheck,Checking
08/13/2019,Peet's Coffee,120.39,debit,Coffee Shops,Savings
08/13/2019,Italian Bistro,11.47,debit,Restaurants,Silver Card
08/16/2019,Target,91.32,debit,Shopping,Savings
08/18/2019,Verizon,124.07,debit,Mobile Phone,Savings
08/19/2019,Amazon,134.71,debit,Shopping,Silver Card
08/19/2019,Electric Company,124.65,debit,Utilities,Savings
08/19/2019,AT&T Internet,194.42,debit,Internet,Silver Card
08/20/2019,Payroll,2668.24,credit,Paycheck,Checking
08/20/2019,Chevron,74.56,debit,Gas & Fuel,Silver Card
08/20/2019,Sushi Bar,11.08,debit,Restaurants,Platinum Card
08/22/2019,Amazon,195.28,debit,Shopping,Checking
08/25/2019,Netflix,192.4,debit,Entertainment,Silver Card
08/27/2019,Chevron,41.25,debit,Gas & Fuel,Checking
08/27/2019,Thai Restaurant,22.5,debit,Restaurants,Silver Card
08/30/2019,AMC Theaters,188.95,debit,Entertainment,Savings
08/30/2019,Local Bar,9.44,debit,Alcohol & Bars,Savings
09/02/2019,Payroll,1875.18,credit,Paycheck,Silver Card
09/04/2019,BP,44.24,debit,Gas & Fuel,Silver Card
09/07/2019,Shell,46.7,debit,Gas & Fuel,Savings
09/09/2019,Trader Joe's,102.48,debit,Groceries,Savings
09/11/2019,Peet's Coffee,150.62,debit,Coffee Shops,Silver Card
09/14/2019,Payroll,2633.49,credit,Paycheck,Platinum Card
09/17/2019,Chevron,51.32,debit,Gas & Fuel,Checking
09/19/2019,Whole Foods,68.85,debit,Groceries,Silver Card
09/19/2019,Barbershop,37.82,debit,Haircut,Checking
09/20/2019,Starbucks,113.68,debit,Coffee Shops,Checking
09/20/2019,Whole Foods,99.24,debit,Groceries,Platinum Card
09/20/2019,McDonald's,35.91,debit,Fast Food,Savings
09/21/2019,Local Bar,95.82,debit,Alcohol & Bars,Savings
09/21/2019,Walmart,177.24,debit,Shopping,Checking
09/22/2019,McDonald's,28.38,debit,Fast Food,Silver Card
09/23/2019,Safeway,22.41,debit,Groceries,Checking
09/26/2019,Chevron,20.93,debit,Gas & Fuel,Platinum Card
09/26/2019,Italian Bistro,59.33,debit,Restaurants,Platinum Card
09/28/2019,AMC Theaters,78.88,debit,Entertainment,Platinum Card
09/28/2019,Trader Joe's,117.39,debit,Groceries,Savings
09/29/2019,AMC Theaters,68.78,debit,Entertainment,Savings
10/02/2019,AMC Theaters,190.2,debit,Entertainment,Checking
10/05/2019,Subway,46.94,debit,Fast Food,Platinum Card
10/07/2019,Chevron,62.83,debit,Gas & Fuel,Savings
10/10/2019,T-Mobile,13.04,debit,Mobile Phone,Platinum Card
10/12/2019,Barbershop,83.48,debit,Haircut,Savings
10/12/2019,Amazon,7.11,debit,Shopping,Checking
10/15/2019,Direct Deposit,2261.01,credit,Paycheck,Silver Card
10/16/2019,Walmart,193.68,debit,Shopping,Silver Card
10/16/2019,Home Depot,46.28,debit,Home Improvement,Silver Card
10/16/2019,Shell,63.15,debit,Gas & Fuel,Silver Card
10/16/2019,State Farm,188.7,debit,Auto Insurance,Savings
10/16/2019,Chevron,44.08,debit,Gas & Fuel,Savings
10/16/2019,Chipotle,56.49,debit,Fast Food,Platinum Card
10/16/2019,Subway,54.1,debit,Fast Food,Savings
10/19/2019,Electric Company,17.74,debit,Utilities,Checking
10/21/2019,Starbucks,198.92,debit,Coffee Shops,Platinum Card
10/24/2019,Trader Joe's,130.8,debit,Groceries,Checking
10/27/2019,T-Mobile,146.49,debit,Mobile Phone,Platinum Card
10/28/2019,Target,76.55,debit,Shopping,Silver Card
10/31/2019,Walmart,146.34,debit,Shopping,Checking
11/03/2019,Comcast,47.43,debit,Internet,Platinum Card
11/03/2019,Safeway,102.14,debit,Groceries,Platinum Card
11/06/2019,Trader Joe's,19.15,debit,Groceries,Platinum Card
11/09/2019,Spotify,85.12,debit,Music,Platinum Card
11/11/2019,Subway,31.89,debit,Fast Food,Checking
